gid,shape_leng,fnode_,tnode_,name,roadtype,froadname,troadname,fnodex,fnodey,tnodex,tnodey,subsections,subsections2,length,code,code2,arcid,northangle,direction,lanenum,distric,jtl,lanenum_same,lanenum_op,fnode_tnode,comsituation,roadlevel,roadlayer,geom,speed,haskk,region,roadatt,drivedir,bigroadid,fn1,roadlevel_temp,build,edit_time,midnodex,midnodey,roadlevel_label,cll,funclevel,rdlv,arrows,floor,carnum,zdlx,northangle_f,direction_f,cdlc,pcsid,ssfj,roadkind
14118,,34180200005642,34180200000110,梅溪路,6,无名路,梅溪路,118.739816,30.945383,118.740775,30.944903,,,104.09,,,34180200270,121.00,东,3,341802,1,3,,34180200005642_34180200000110,,03,1,"MULTILINESTRING ((118.739815942663 30.945382944676, 118.740294874234 30.9450929558563, 118.740714945987 30.9448530145757))",60.00,,,,99,,,,,,118.740262,30.945113,03,,2,2,,1,,,122.00,东,326.37,341802000000,341802,0
6484,,-34180200000149,34180200000160,梅溪路,6,九同路,九同路,118.744030,30.943109,118.745222,30.942592,,,119.93,,,34180200284,117.00,东,3,341802,1,4,,-34180200000149_34180200000160,,03,1,"MULTILINESTRING ((118.744054908502 30.9431339881249, 118.744414871693 30.9429739632854, 118.744534877947 30.9429139754994, 118.744924856153 30.9427239541868, 118.745104917645 30.9426340161788, 118.745154896023 30.9426139454849))",60.00,,,,99,,,,,,118.744607,30.942879,03,,2,2,,1,,,115.00,东,364.4,341802000000,341802,0
2574,,34180200000157,34180200000159,梅溪路,6,宣宝巷,无名路,118.721851,30.954834,118.726725,30.953573,,,481.15,,,34180200323,109.00,东,3,341802,1,3,,34180200000157_34180200000159,,03,1,"MULTILINESTRING ((118.721887943909 30.9547589905711, 118.722077933265 30.9546889788821, 118.722457928915 30.9545499468062, 118.722547936605 30.9545199688126, 118.722717947429 30.9544799930053, 118.723127892302 30.9544000104159, 118.723357910649 30.9543499415338, 118.723617898374 30.9542900000585, 118.723647939914 30.9542899601745, 118.724277881651 30.9541499339671, 118.724557861473 30.9540899944798, 118.72510787324 30.953969975879, 118.725467866885 30.9538599802445, 118.725527905239 30.9538399630315, 118.725777944924 30.9537799696855, 118.726517875154 30.9535399505398, 118.726517875154 30.9535399505398, 118.726687940725 30.9534799414583))",60.00,,,,99,,,,,,118.724294,30.954147,03,,3,2,,1,,,111.00,东,1530.13,341804000000,341804,0
15080,,34180200000157,34180200008788,梅溪路,6,宣宝巷,无名路,118.721851,30.954834,118.720096,30.955692,,,187.63,,,34180200325,297.00,西,3,341802,1,3,,34180200000157_34180200008788,,03,1,"MULTILINESTRING ((118.721827858578 30.9548989907781, 118.72142792841 30.9550589455339, 118.721307952925 30.9550989748405, 118.721197891217 30.9551489758981, 118.721007913973 30.9552489370685, 118.720657883567 30.9554189602682, 118.720367892504 30.9555689676715, 118.720095944065 30.9556919408169))",60.00,,,,99,,,,,,118.720953,30.955275,03,,3,2,,1,,,293.00,西,630.88,341804000000,341804,0
4000,,34180200000438,34180200000157,梅溪路,6,佳乐巷,宣宝巷,118.723623,30.954440,118.721851,30.954834,,,180.80,,,34180200327,289.00,西,3,341802,1,3,,34180200000438_34180200000157,,03,1,"MULTILINESTRING ((118.723627903219 30.9544099407997, 118.723377891508 30.9544600061857, 118.723167864692 30.9545099889319, 118.722987892653 30.9545490155945, 118.722747926795 30.9545989458186, 118.722567942584 30.9546489781179, 118.722567942584 30.9546489781179, 118.722507932665 30.9546589798962, 118.722127954473 30.9547990042421, 118.721827858578 30.9548989907781))",60.00,,,,99,,,,,,118.722715,30.954608,03,,3,2,,1,,,283.00,西,488.31,341804000000,341804,0
8918,,34180200005575,34180200000157,梅溪路,6,梅溪路,宣宝巷,118.717909,30.956779,118.721851,30.954834,,,442.10,,,34180200329,111.00,东,3,341802,1,3,,34180200005575_34180200000157,,03,1,"MULTILINESTRING ((118.717908885029 30.956778972567, 118.71805892379 30.956698942822, 118.718648941831 30.956338992356, 118.71875893166 30.9562789806617, 118.719138893118 30.9560789741832, 118.719328874048 30.9559790156406, 118.719508877692 30.9558889326722, 118.720068944791 30.9555989291774, 118.720297954021 30.9554689498485, 118.720597890183 30.9553189906013, 118.720937872055 30.9551490111894, 118.721237909202 30.9549989589373, 118.721367859571 30.9549489635329, 118.721887943909 30.9547589905711))",60.00,,,,99,,,,,,118.719867,30.955704,03,,3,2,,1,,,122.00,东,1313.4,341804000000,341804,0
7393,,34180200000160,34180200005467,梅溪路,6,九同路,梅溪路,118.745222,30.942592,118.750324,30.940275,,,546.15,,,34180200338,118.00,东,3,341802,1,4,,34180200000160_34180200005467,,03,1,"MULTILINESTRING ((118.745264931807 30.9425640151223, 118.745674897764 30.9423739923276, 118.745674897764 30.9423739923276, 118.745864871174 30.9422939330683, 118.745974906199 30.9422440021265, 118.746553881933 30.9419839431811, 118.746823928008 30.9418640087694, 118.747083923331 30.9417439390334, 118.747523947951 30.9415439415912, 118.748273943315 30.9412039793108, 118.748483931128 30.9411139927523, 118.748703887544 30.9410139475392, 118.748933918741 30.940903932399, 118.749143905239 30.940813944812, 118.749293857752 30.9407549908461, 118.749543904787 30.9406349607195, 118.750053886924 30.940414972898, 118.750103891493 30.9403849765393, 118.750323872881 30.9402750048588))",60.00,,,,99,,,,,,118.747796,30.941421,03,,4,2,,1,,,116.00,东,1735.95,341802000000,341802,0
16386,,34180200005534,34180200000160,梅溪路,6,鳌峰西路,九同路,118.746595,30.942084,118.745222,30.942592,,,131.92,,,34180200341,294.00,西,3,341802,1,4,,34180200005534_34180200000160,,03,1,"MULTILINESTRING ((118.746594950094 30.9420839758578, 118.746014925875 30.9423439589473, 118.745904892401 30.942393980117, 118.745724861052 30.9424739953584, 118.745364929359 30.942624009675))",60.00,,,,99,,,,,,118.745982,30.942359,03,,4,2,,1,,,295.00,西,335.64,341802000000,341802,0
7762,,34180200000207,34180200005638,梅溪路,6,状元南路,梅溪路,118.751257,30.939928,118.751014,30.940085,,,26.34,,,34180200582,293.00,西,3,341802,1,3,,34180200000207_34180200005638,,03,1,"MULTILINESTRING ((118.751263879834 30.9399849562609, 118.751013890208 30.9400849615538))",60.00,,,,99,,,,,,118.751139,30.940035,03,,4,2,,1,,,293.00,西,150.48,341802000000,341802,0
15057,,34180200005596,34180200000207,梅溪路,6,状元南路,状元南路,118.751674,30.939865,118.751257,30.939928,,,41.37,,,34180200586,287.00,西,4,341802,1,4,,34180200005596_34180200000207,,03,1,"MULTILINESTRING ((118.751673844903 30.9398650104727, 118.751263879834 30.9399849562609))",60.00,,,,99,,,,,,118.751469,30.939925,03,,4,2,,1,,,287.00,西,100.45,341802000000,341802,0
9797,,34180200005501,34180200000207,梅溪路,6,状元南路,状元南路,118.750734,30.940085,118.751257,30.939928,,,49.61,,,34180200588,110.00,东,4,341802,1,4,,34180200005501_34180200000207,,03,1,"MULTILINESTRING ((118.750733923093 30.9400849652774, 118.751053880515 30.9399649776384, 118.751213936851 30.9399149961285))",60.00,,,,99,,,,,,118.750972,30.939996,03,,4,2,,1,,,112.00,东,148.28,341802000000,341802,0
